Sentence #,Word,Tag
Sentence: 33,be,o
Sentence: 33,designed,r-b
Sentence: 33,for,o
Sentence: 33,up,o
Sentence: 33,to,o
Sentence: 33,five,e-2-b
Sentence: 33,years,e-2-i
Sentence: 33,of,e-2-i
Sentence: 33,studying,e-2-i
Sentence: 33,.,o
Sentence: 34,the,o
Sentence: 34,national,e-1-b
Sentence: 34,film,e-1-i
Sentence: 34,awards,e-1-i
Sentence: 34,is,r-b
Sentence: 34,becoming,r-i
Sentence: 34,the,o
Sentence: 34,most,o
Sentence: 34,prominent,e-2-b
Sentence: 34,award,e-2-i
Sentence: 34,ceremonies,e-2-i
Sentence: 34,.,o
Sentence: 35,the,o
Sentence: 35,awards,e-1-b
Sentence: 35,were,o
Sentence: 35,first,r-b
Sentence: 35,presented,r-i
Sentence: 35,in,r-i
Sentence: 35,1954,e-2-b
Sentence: 36,Actor,e-1-b
Sentence: 36,returns,r-b
Sentence: 36,home,e-2-b
Sentence: 36,.,o
Sentence: 37,a,o
Sentence: 37,mass,e-1-b
Sentence: 37,riot,e-1-i
Sentence: 37,breaks,r-b
Sentence: 37,out,r-i
Sentence: 37,in,o
Sentence: 37,gotham,e-2-b
Sentence: 37,.,o
Sentence: 38,arthur,e-1-b
Sentence: 38,is,o
Sentence: 38,imprisoned,r-b
Sentence: 38,at,o
Sentence: 38,arkham,e-2-b
Sentence: 38,state,e-2-i
Sentence: 38,hospital,e-2-i
Sentence: 38,.,o
Sentence: 39,Batman,e-1-b
Sentence: 39,can't,r-b
Sentence: 39,wait,r-i
Sentence: 39,to,o
Sentence: 39,see,o
Sentence: 39,rachel,e-2-b
Sentence: 39,.,o
Sentence: 40,Batman,e-1-b
Sentence: 40,caught,r-b
Sentence: 40,Joker,e-2-b
Sentence: 40,.,o
Sentence: 41,the,o
Sentence: 41,film,e-1-b
Sentence: 41,is,o
Sentence: 41,written,r-b
Sentence: 41,by,o
Sentence: 41,samuel,e-2-b
Sentence: 41,beckett,e-2-i
Sentence: 41,.,o
Sentence: 42,beckett,e-1-b
Sentence: 42,then,o
Sentence: 42,suggested,r-b
Sentence: 42,buster,e-2-b
Sentence: 42,keaton,e-2-i
Sentence: 42,.,o
Sentence: 43,david,e-1-b
Sentence: 43,rayner,e-1-i
Sentence: 43,clark,e-1-i
Sentence: 43,directed,r-b
Sentence: 43,max,e-2-b
Sentence: 43,wall,e-2-i
Sentence: 43,.,o
Sentence: 44,"suddenly,",o
Sentence: 44,the,o
Sentence: 44,camera,e-1-b
Sentence: 44,shifts,r-b
Sentence: 44,violently,r-b
Sentence: 44,to,o
Sentence: 44,the,o
Sentence: 44,left,e-2-b
Sentence: 44,.,o
Sentence: 45,the,o
Sentence: 45,couple,e-1-b
Sentence: 45,look,r-b
Sentence: 45,at,r-i
Sentence: 45,each,e-2-b
Sentence: 45,other,e-2-i
Sentence: 45,.,o
Sentence: 46,the,o
Sentence: 46,camera,e-1-b
Sentence: 46,cuts,r-b
Sentence: 46,to,r-i
Sentence: 46,the,o
Sentence: 46,vestibule,e-2-b
Sentence: 46,.,o
Sentence: 47,the,o
Sentence: 47,camera,e-1-b
Sentence: 47,gives,r-b
Sentence: 47,a,o
Sentence: 47,brief,e-2-b
Sentence: 47,close-up,e-2-i
Sentence: 47,.,o
Sentence: 48,Protagonist,e-1-b
Sentence: 48,starts,r-b
Sentence: 48,from,r-i
Sentence: 48,the,o
Sentence: 48,"chair,",e-2-b
Sentence: 48,.,o
Sentence: 49,Arthur,e-1-b
Sentence: 49,couldn't,r-b
Sentence: 49,get,r-i
Sentence: 49,away,r-i
Sentence: 49,from,r-i
Sentence: 49,himself,e-2-b
Sentence: 49,.,o
Sentence: 50,beckett's,e-1-b
Sentence: 50,script,e-1-i
Sentence: 50,has,o
Sentence: 50,been,o
Sentence: 50,interpreted,r-b
Sentence: 50,in,r-i
Sentence: 50,various,e-2-b
Sentence: 50,ways,e-2-i
Sentence: 50,.,o
Sentence: 51,david,e-1-b
Sentence: 51,heyman,e-1-i
Sentence: 51,produced,r-b
Sentence: 51,the,o
Sentence: 51,film,e-2-b
Sentence: 51,.,o
Sentence: 52,barron,e-1-b
Sentence: 52,was,o
Sentence: 52,producing,r-b
Sentence: 52,the,o
Sentence: 52,last,e-2-b
Sentence: 52,four,e-2-i
Sentence: 52,films,e-2-i
Sentence: 52,.,o
Sentence: 53,Barron,e-1-b
Sentence: 53,displayed,r-b
Sentence: 53,real,o
Sentence: 53,passion,e-2-b
Sentence: 53,.,o
Sentence: 54,all,e-1-b
Sentence: 54,the,e-1-i
Sentence: 54,directors,e-1-i
Sentence: 54,have,o
Sentence: 54,been,o
Sentence: 54,supportive,r-b
Sentence: 54,of,o
Sentence: 54,each,e-2-b
Sentence: 54,other,e-2-i
Sentence: 54,.,o
Sentence: 55,stuart,e-1-b
Sentence: 55,criag,e-1-i
Sentence: 55,is,r-b
Sentence: 55,the,o
Sentence: 55,production,e-2-b
Sentence: 55,designer,e-2-i
Sentence: 55,.,o
Sentence: 56,the,o
Sentence: 56,harry,e-1-b
Sentence: 56,potter,e-1-i
Sentence: 56,series,e-1-i
Sentence: 56,had,r-b
Sentence: 56,four,e-2-b
Sentence: 56,composers,e-2-i
Sentence: 56,.,o
Sentence: 57,the,o
Sentence: 57,director,e-1-b
Sentence: 57,announced,r-b
Sentence: 57,his,o
Sentence: 57,retirement,e-2-b
Sentence: 57,.,o
Sentence: 58,principal,e-1-b
Sentence: 58,photography,e-1-i
Sentence: 58,began,r-b
Sentence: 58,on,r-i
Sentence: 58,august,e-2-b
Sentence: 58,1st,e-2-i
Sentence: 58,.,o
Sentence: 59,aquaman,e-1-b
Sentence: 59,was,r-b
Sentence: 59,announced,r-b
Sentence: 59,in,r-i
Sentence: 59,october,e-2-b
Sentence: 59,.,o
Sentence: 60,pre-production,e-1-b
Sentence: 60,began,r-b
Sentence: 60,in,o
Sentence: 60,august,e-2-b
Sentence: 60,.,o
Sentence: 61,the,o
Sentence: 61,villain,e-1-b
Sentence: 61,mister,e-1-i
Sentence: 61,mind,e-1-i
Sentence: 61,is,o
Sentence: 61,introduced,r-b
Sentence: 61,in,r-i
Sentence: 61,a,o
Sentence: 61,mid-credits,e-2-b
Sentence: 61,scene,e-2-i
Sentence: 61,.,o
Sentence: 62,pre-production,e-1-b
Sentence: 62,had,o
Sentence: 62,begun,r-b
Sentence: 62,by,r-i
Sentence: 62,early,e-2-b
Sentence: 62,december,e-2-i
Sentence: 62,2017,e-2-i
Sentence: 63,filming,e-1-b
Sentence: 63,locations,e-1-i
Sentence: 63,include,r-b
Sentence: 63,the,o
Sentence: 63,warner,e-2-b
Sentence: 63,bros,e-2-i
Sentence: 63,.,o
Sentence: 64,wonder,e-1-b
Sentence: 64,woman,e-1-i
Sentence: 64,1984,e-1-i
Sentence: 64,was,o
Sentence: 64,released,r-b
Sentence: 64,on,r-i
Sentence: 64,june,e-2-b
Sentence: 64,5,e-2-i
Sentence: 64,2020,e-2-i
Sentence: 65,dan,e-1-b
Sentence: 65,mazeau,e-1-i
Sentence: 65,was,o
Sentence: 65,brought,r-b
Sentence: 65,on,r-i
Sentence: 65,as,o
Sentence: 65,co-writer,e-2-b
Sentence: 65,.,o
Sentence: 66,miller,e-1-b
Sentence: 66,revealed,r-b
Sentence: 66,the,o
Sentence: 66,plot,e-2-b
Sentence: 66,.,o
Sentence: 67,pre-production,e-1-b
Sentence: 67,will,r-b
Sentence: 67,begin,r-i
Sentence: 67,by,r-i
Sentence: 67,january,e-2-b
Sentence: 67,2020,e-2-i
Sentence: 68,the,e-1-b
Sentence: 68,flash,e-1-i
Sentence: 68,will,r-b
Sentence: 68,be,r-i
Sentence: 68,released,r-i
Sentence: 68,in,r-i
Sentence: 68,2021,e-2-b
Sentence: 69,aquaman,e-1-b
Sentence: 69,2's,e-1-i
Sentence: 69,release,e-1-i
Sentence: 69,is,o
Sentence: 69,scheduled,r-b
Sentence: 69,on,r-i
Sentence: 69,december,e-2-b
Sentence: 69,"16,",e-2-i
Sentence: 69,2022,e-2-i
Sentence: 70,suicide,e-1-b
Sentence: 70,squad,e-1-i
Sentence: 70,occurred,r-b
Sentence: 70,shortly,r-i
Sentence: 70,after,r-i
Sentence: 70,batman,e-2-b
Sentence: 70,v,e-2-i
Sentence: 70,superman,e-2-i
Sentence: 71,justice,e-1-b
Sentence: 71,league,e-1-i
Sentence: 71,was,o
Sentence: 71,released,r-b
Sentence: 71,worldwide,e-2-b
Sentence: 72,the,o
Sentence: 72,sequel,e-1-b
Sentence: 72,was,o
Sentence: 72,officially,r-b
Sentence: 72,announced,r-i
Sentence: 72,by,r-i
Sentence: 72,producers,e-2-b
Sentence: 73,the,o
Sentence: 73,production,e-1-b
Sentence: 73,was,r-b
Sentence: 73,making,r-i
Sentence: 73,progress,e-2-b
Sentence: 74,whishaw,e-1-b
Sentence: 74,left,r-b
Sentence: 74,the,o
Sentence: 74,project,e-2-b
Sentence: 74,seven,o
Sentence: 74,months,o
Sentence: 74,later,o
Sentence: 75,the,o
Sentence: 75,producer,e-1-b
Sentence: 75,was,r-b
Sentence: 75,replaced,r-i
Sentence: 75,by,r-i
Sentence: 76,deputy,e-2-b
Sentence: 76,received,r-b
Sentence: 76,an,o
Sentence: 76,executive,e-2-b
Sentence: 76,producer,e-2-i
Sentence: 76,credit,e-2-i
Sentence: 76,.,o
Sentence: 77,a,o
Sentence: 77,vinyl,e-1-b
Sentence: 77,release,e-1-i
Sentence: 77,followed,r-b
Sentence: 77,on,r-i
Sentence: 77,8,e-2-b
Sentence: 77,february,e-2-i
Sentence: 77,2019,e-2-i
Sentence: 78,This,e-1-b
Sentence: 78,film,e-1-i
Sentence: 78,was,r-b
Sentence: 78,released,r-i
Sentence: 78,in,r-i
Sentence: 78,south,e-2-b
Sentence: 78,korea,e-2-b
Sentence: 78,.,o
Sentence: 79,the,e-1-b
Sentence: 79,film,e-1-i
Sentence: 79,adapted,r-b
Sentence: 79,the,o
Sentence: 79,faust,e-2-b
Sentence: 79,legend,e-2-i
Sentence: 79,.,o
Sentence: 80,trick,e-1-b
Sentence: 80,films,e-1-i
Sentence: 80,innovated,r-b
Sentence: 80,special,e-2-b
Sentence: 80,effects,e-2-i
Sentence: 80,.,o
Sentence: 81,the,o
Sentence: 81,series,e-1-b
Sentence: 81,is,r-b
Sentence: 81,similar,r-i
Sentence: 81,to,r-i
Sentence: 81,the,o
Sentence: 81,surrealist,e-2-b
Sentence: 81,movement,e-2-i
Sentence: 81,.,o
Sentence: 82,they,e-1-b
Sentence: 82,would,o
Sentence: 82,become,r-b
Sentence: 82,the,o
Sentence: 82,leading,e-2-b
Sentence: 82,innovators,e-2-i
Sentence: 82,.,o
Sentence: 83,his,e-1-b
Sentence: 83,exaggerated,e-1-i
Sentence: 83,smile,e-1-i
Sentence: 83,inspired,r-b
Sentence: 83,dc,e-2-b
Sentence: 83,comic's,e-2-i
Sentence: 83,the,e-2-i
Sentence: 83,joker,e-2-i
Sentence: 83,.,o
Sentence: 84,the,o
Sentence: 84,film,e-1-b
Sentence: 84,was,r-b
Sentence: 84,poorly,r-i
Sentence: 84,received,r-i
Sentence: 84,by,r-i
Sentence: 84,audiences,e-2-b
Sentence: 85,the,o
Sentence: 85,film,e-1-b
Sentence: 85,was,o
Sentence: 85,generally,o
Sentence: 85,well,r-b
Sentence: 85,received,r-i
Sentence: 85,by,r-i
Sentence: 85,critics,e-2-b
Sentence: 85,.,o
Sentence: 86,the,e-1-b
Sentence: 86,first,e-1-i
Sentence: 86,one,e-1-i
Sentence: 86,is,r-b
Sentence: 86,murdered,r-i
Sentence: 86,in,r-i
Sentence: 86,the,o
Sentence: 86,rue,e-2-b
Sentence: 86,morgue,e-2-i
Sentence: 86,.,o
Sentence: 87,it's,o
Sentence: 87,a,o
Sentence: 87,mystery,e-1-b
Sentence: 87,horror,e-1-i
Sentence: 87,story,e-1-i
Sentence: 87,starring,r-b
Sentence: 87,boris,e-2-b
Sentence: 87,karloff,e-2-i
Sentence: 87,.,o
Sentence: 88,that,o
Sentence: 88,murder-mystery,e-1-b
Sentence: 88,film,e-1-i
Sentence: 88,was,r-b
Sentence: 88,called,r-i
Sentence: 88,the,o
Sentence: 88,secret,e-2-b
Sentence: 88,of,e-2-i
Sentence: 88,the,e-2-i
Sentence: 88,blue,e-2-i
Sentence: 88,room,e-2-i
Sentence: 88,.,o
Sentence: 89,universal,e-1-b
Sentence: 89,pictures,e-1-i
Sentence: 89,paired,r-b
Sentence: 89,the,o
Sentence: 89,two,e-2-b
Sentence: 89,iconic,e-2-i
Sentence: 89,actors,e-1-i
Sentence: 89,together,o
Sentence: 89,.,o
Sentence: 90,actress,e-1-b
Sentence: 90,elsa,e-1-i
Sentence: 90,lanchester,e-1-i
Sentence: 90,portrayed,r-b
Sentence: 90,the,o
Sentence: 90,monster's,e-2-b
Sentence: 90,bride,e-2-i
Sentence: 90,.,o
Sentence: 91,these,o
Sentence: 91,radiation,e-1-b
Sentence: 91,effects,e-1-i
Sentence: 91,also,o
Sentence: 91,begin,o
Sentence: 91,to,o
Sentence: 91,slowly,o
Sentence: 91,drive,r-b
Sentence: 91,people,e-2-b
Sentence: 91,mad,e-2-b
Sentence: 91,.,o
Sentence: 92,The,e-1-b
Sentence: 92,Matrix's,e-1-i
Sentence: 92,latest,e-1-i
Sentence: 92,sequel,e-1-i
Sentence: 92,will,o
Sentence: 92,be,o
Sentence: 92,released,r-b
Sentence: 92,soon,e-2-b
Sentence: 92,.,o
Sentence: 93,audience's,e-1-b
Sentence: 93,fright,e-1-i
Sentence: 93,factor,e-1-i
Sentence: 93,is,r-b
Sentence: 93,enhanced,r-i
Sentence: 93,by,r-i
Sentence: 93,this,e-2-b
Sentence: 93,.,o
Sentence: 94,the,o
Sentence: 94,1970s,e-1-b
Sentence: 94,era,e-1-i
Sentence: 94,was,r-b
Sentence: 94,dominated,r-i
Sentence: 94,by,r-i
Sentence: 94,american,e-2-b
Sentence: 94,horror,e-2-i
Sentence: 94,films,e-2-i
Sentence: 95,Heath,e-1-b
Sentence: 95,Ledger,e-1-i
Sentence: 95,played,r-b
Sentence: 95,joker,e-2-b
Sentence: 95,character,e-2-i
Sentence: 96,my,e-1-b
Sentence: 96,bloody,e-1-i
Sentence: 96,valentine,e-1-i
Sentence: 96,is,r-b
Sentence: 96,a,o
Sentence: 96,slasher,e-2-b
Sentence: 96,film,e-2-i
Sentence: 97,fiction,e-1-b
Sentence: 97,monster,e-1-i
Sentence: 97,horror,e-1-i
Sentence: 97,was,o
Sentence: 97,quite,r-b
Sentence: 97,popular,r-i
Sentence: 97,in,r-i
Sentence: 97,the,o
Sentence: 97,1990s,e-2-b
Sentence: 98,Movie,e-1-b
Sentence: 98,was,o
Sentence: 98,written,r-b
Sentence: 98,by,r-i
Sentence: 98,alejandro,e-2-b
Sentence: 98,amena¡bar,e-2-i
Sentence: 99,some,o
Sentence: 99,pronounced,e-1-b
Sentence: 99,trends,e-1-i
Sentence: 99,have,o
Sentence: 99,marked,r-b
Sentence: 99,horror,e-2-b
Sentence: 99,films,e-2-i
Sentence: 100,Si-fi,e-1-b
Sentence: 100,category,e-1-i
Sentence: 100,also,o
Sentence: 100,fuses,r-b
Sentence: 100,the,o
Sentence: 100,fantasy,e-2-b
Sentence: 100,genre,e-2-i
Sentence: 101,holiday,e-1-b
Sentence: 101,horror,e-1-i
Sentence: 101,depicts,r-b
Sentence: 101,horror,e-2-b
Sentence: 101,events,e-2-i
Sentence: 102,Hemsworth,e-1-b
Sentence: 102,gained,r-b
Sentence: 102,fame,e-2-b
Sentence: 102,after,o
Sentence: 102,his,o
Sentence: 102,appearance,o
Sentence: 102,in,o
Sentence: 102,Thor,o
Sentence: 103,one,o
Sentence: 103,of,o
Sentence: 103,the,o
Sentence: 103,most,o
Sentence: 103,noticeable,o
Sentence: 103,side,e-1-b
Sentence: 103,effects,e-1-i
Sentence: 103,is,r-b
Sentence: 103,sleeplessness,e-2-b
Sentence: 104,many,e-1-b
Sentence: 104,horror,e-1-i
Sentence: 104,films,e-1-i
Sentence: 104,created,r-b
Sentence: 104,great,e-2-b
Sentence: 104,social,e-2-i
Sentence: 104,controversy,e-2-i
